YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
2005  999.9   13.6   13.5   14.0   13.9   13.4   13.3   13.0   12.9   12.7   12.9   12.7    13.2    13.8    13.2    12.8   13.26
2006   13.1   13.3   12.9   13.2   13.3  999.9  999.9   13.4   13.2   13.1  999.9   13.1    13.0    13.1   999.9    13.2   13.11
2007   13.3   12.4   13.3   13.8   13.3   12.9   13.0   12.8   12.9   12.7   12.8   12.5    12.9    13.5    12.9    12.8   13.03
2008   12.5   12.9   12.6   13.0  999.9   12.9   12.6   12.7   12.8   12.6   13.2   12.7    12.6    12.8    12.7    12.9   12.77
2009   12.8   12.9   12.9   13.8  999.9   13.9   13.6   14.1   14.0   13.6   13.2   13.4    12.8    13.4    13.9    13.6   13.41
2010   13.2  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9    13.4   999.9   999.9   999.9  999.90
2011  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
2012  999.9   13.0   13.6   13.4   13.7   13.8  999.9   13.5   13.2   13.6   13.6  999.9   999.9    13.6    13.6    13.5   13.45
2013   13.5   13.9   14.2   14.4   14.0   13.9   13.3   13.7   13.9   13.5   13.5   13.5    13.7    14.2    13.6    13.6   13.78
2014   13.7   13.7   14.0   14.2   14.1   13.9   13.8   13.4   13.7   13.8   13.8   13.5    13.6    14.1    13.7    13.8   13.80
2015   13.4  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
