"","año","mes","fecha","ciudad","temperatura"
"105",1991,"MAR","1991-3-1","ipiales",12
"106",1992,"MAR","1992-3-1","ipiales",11.9
"107",1993,"MAR","1993-3-1","ipiales",10.8
"108",1994,"MAR","1994-3-1","ipiales",11.1
"109",1995,"MAR","1995-3-1","ipiales",11.5
"110",1996,"MAR","1996-3-1","ipiales",11.2
"111",1997,"MAR","1997-3-1","ipiales",11.3
"112",1998,"MAR","1998-3-1","ipiales",12.6
"113",1999,"MAR","1999-3-1","ipiales",11.2
"114",2000,"MAR","2000-3-1","ipiales",11.1
"115",2001,"MAR","2001-3-1","ipiales",11.2
"116",2002,"MAR","2002-3-1","ipiales",11.8
"117",2003,"MAR","2003-3-1","ipiales",11.4
"118",2004,"MAR","2004-3-1","ipiales",11.6
"119",2005,"MAR","2005-3-1","ipiales",11.8
"120",2006,"MAR","2006-3-1","ipiales",11.8
"121",2007,"MAR","2007-3-1","ipiales",11.7
"122",2008,"MAR","2008-3-1","ipiales",11
"123",2009,"MAR","2009-3-1","ipiales",12
"124",2010,"MAR","2010-3-1","ipiales",12.1
"125",2011,"MAR","2011-3-1","ipiales",11.1
"126",2012,"MAR","2012-3-1","ipiales",11.3
"127",2013,"MAR","2013-3-1","ipiales",12
"128",2014,"MAR","2014-3-1","ipiales",11.8
"129",2015,"MAR","2015-3-1","ipiales",NA
"130",1973,"APR","1973-4-1","ipiales",NA
"131",1974,"APR","1974-4-1","ipiales",NA
"132",1975,"APR","1975-4-1","ipiales",10.9
"133",1976,"APR","1976-4-1","ipiales",10.9
"134",1977,"APR","1977-4-1","ipiales",NA
"135",1978,"APR","1978-4-1","ipiales",11.6
"136",1979,"APR","1979-4-1","ipiales",11.2
"137",1980,"APR","1980-4-1","ipiales",NA
"138",1981,"APR","1981-4-1","ipiales",NA
"139",1982,"APR","1982-4-1","ipiales",10.8
"140",1983,"APR","1983-4-1","ipiales",12.3
"141",1984,"APR","1984-4-1","ipiales",10.9
"142",1985,"APR","1985-4-1","ipiales",11.1
"143",1986,"APR","1986-4-1","ipiales",11.4
"144",1987,"APR","1987-4-1","ipiales",11.3
"145",1988,"APR","1988-4-1","ipiales",11.4
"146",1989,"APR","1989-4-1","ipiales",10.9
"147",1990,"APR","1990-4-1","ipiales",11.6
"148",1991,"APR","1991-4-1","ipiales",11.3
"149",1992,"APR","1992-4-1","ipiales",11.7
"150",1993,"APR","1993-4-1","ipiales",11.4
"151",1994,"APR","1994-4-1","ipiales",11
"152",1995,"APR","1995-4-1","ipiales",11.7
"153",1996,"APR","1996-4-1","ipiales",11.3
"154",1997,"APR","1997-4-1","ipiales",11.3
"155",1998,"APR","1998-4-1","ipiales",13.1
"156",1999,"APR","1999-4-1","ipiales",11.1
"157",2000,"APR","2000-4-1","ipiales",11.2
"158",2001,"APR","2001-4-1","ipiales",10.9
"159",2002,"APR","2002-4-1","ipiales",11.4
"160",2003,"APR","2003-4-1","ipiales",11.8
"161",2004,"APR","2004-4-1","ipiales",11.8
"162",2005,"APR","2005-4-1","ipiales",11.9
"163",2006,"APR","2006-4-1","ipiales",11.6
"164",2007,"APR","2007-4-1","ipiales",12
"165",2008,"APR","2008-4-1","ipiales",11.4
"166",2009,"APR","2009-4-1","ipiales",11.7
"167",2010,"APR","2010-4-1","ipiales",NA
"168",2011,"APR","2011-4-1","ipiales",11.5
"169",2012,"APR","2012-4-1","ipiales",11.4
"170",2013,"APR","2013-4-1","ipiales",11.5
"171",2014,"APR","2014-4-1","ipiales",11.6
"172",2015,"APR","2015-4-1","ipiales",NA
"173",1973,"MAY","1973-5-1","ipiales",NA
"174",1974,"MAY","1974-5-1","ipiales",NA
"175",1975,"MAY","1975-5-1","ipiales",10.4
"176",1976,"MAY","1976-5-1","ipiales",10.6
"177",1977,"MAY","1977-5-1","ipiales",10.7
"178",1978,"MAY","1978-5-1","ipiales",11
"179",1979,"MAY","1979-5-1","ipiales",11.2
"180",1980,"MAY","1980-5-1","ipiales",NA
"181",1981,"MAY","1981-5-1","ipiales",NA
"182",1982,"MAY","1982-5-1","ipiales",11.1
"183",1983,"MAY","1983-5-1","ipiales",12
"184",1984,"MAY","1984-5-1","ipiales",10.8
"185",1985,"MAY","1985-5-1","ipiales",10.5
"186",1986,"MAY","1986-5-1","ipiales",10.8
"187",1987,"MAY","1987-5-1","ipiales",11.3
"188",1988,"MAY","1988-5-1","ipiales",11.4
"189",1989,"MAY","1989-5-1","ipiales",11
"190",1990,"MAY","1990-5-1","ipiales",11.3
"191",1991,"MAY","1991-5-1","ipiales",11.8
"192",1992,"MAY","1992-5-1","ipiales",11.4
"193",1993,"MAY","1993-5-1","ipiales",11.5
"194",1994,"MAY","1994-5-1","ipiales",11.3
"195",1995,"MAY","1995-5-1","ipiales",11.1
"196",1996,"MAY","1996-5-1","ipiales",11.1
"197",1997,"MAY","1997-5-1","ipiales",11.4
"198",1998,"MAY","1998-5-1","ipiales",12.1
"199",1999,"MAY","1999-5-1","ipiales",10.6
"200",2000,"MAY","2000-5-1","ipiales",11.2
"201",2001,"MAY","2001-5-1","ipiales",11.2
