"","año","mes","fecha","ciudad","temperatura"
"523",1957,"JAN","1957-1-1","cali",25
"524",1958,"JAN","1958-1-1","cali",NA
"525",1959,"JAN","1959-1-1","cali",NA
"526",1960,"JAN","1960-1-1","cali",23
"527",1961,"JAN","1961-1-1","cali",23.6
"528",1962,"JAN","1962-1-1","cali",22.8
"529",1963,"JAN","1963-1-1","cali",23.2
"530",1964,"JAN","1964-1-1","cali",24.3
"531",1965,"JAN","1965-1-1","cali",NA
"532",1966,"JAN","1966-1-1","cali",NA
"533",1967,"JAN","1967-1-1","cali",22.9
"534",1968,"JAN","1968-1-1","cali",22.9
"535",1969,"JAN","1969-1-1","cali",22.7
"536",1970,"JAN","1970-1-1","cali",23.1
"537",1971,"JAN","1971-1-1","cali",22.8
"538",1972,"JAN","1972-1-1","cali",22.9
"539",1973,"JAN","1973-1-1","cali",NA
"540",1974,"JAN","1974-1-1","cali",22.5
"541",1975,"JAN","1975-1-1","cali",23.3
"542",1976,"JAN","1976-1-1","cali",22.9
"543",1977,"JAN","1977-1-1","cali",24.1
"544",1978,"JAN","1978-1-1","cali",23.5
"545",1979,"JAN","1979-1-1","cali",23.4
"546",1980,"JAN","1980-1-1","cali",23.2
"547",1981,"JAN","1981-1-1","cali",23.8
"548",1982,"JAN","1982-1-1","cali",23.2
"549",1983,"JAN","1983-1-1","cali",24.9
"550",1984,"JAN","1984-1-1","cali",22.1
"551",1985,"JAN","1985-1-1","cali",22.7
"552",1986,"JAN","1986-1-1","cali",23.3
"553",1987,"JAN","1987-1-1","cali",24.4
"554",1988,"JAN","1988-1-1","cali",24.4
"555",1989,"JAN","1989-1-1","cali",22.9
"556",1990,"JAN","1990-1-1","cali",23.7
"557",1991,"JAN","1991-1-1","cali",24
"558",1992,"JAN","1992-1-1","cali",24.1
"559",1993,"JAN","1993-1-1","cali",23.5
"560",1994,"JAN","1994-1-1","cali",23.8
"561",1995,"JAN","1995-1-1","cali",24.8
"562",1996,"JAN","1996-1-1","cali",22.7
"563",1997,"JAN","1997-1-1","cali",23.5
"564",1998,"JAN","1998-1-1","cali",25.3
"565",1999,"JAN","1999-1-1","cali",23.4
"566",2000,"JAN","2000-1-1","cali",23.2
"567",2001,"JAN","2001-1-1","cali",22.9
"568",2002,"JAN","2002-1-1","cali",23.9
"569",2003,"JAN","2003-1-1","cali",24.3
"570",2004,"JAN","2004-1-1","cali",23.3
"571",2005,"JAN","2005-1-1","cali",23.6
"572",2006,"JAN","2006-1-1","cali",23
"573",2007,"JAN","2007-1-1","cali",24.4
"574",2008,"JAN","2008-1-1","cali",23.1
"575",2009,"JAN","2009-1-1","cali",23.1
"576",2010,"JAN","2010-1-1","cali",24.8
"577",2011,"JAN","2011-1-1","cali",23.5
"578",2012,"JAN","2012-1-1","cali",23.1
"579",2013,"JAN","2013-1-1","cali",24.8
"580",2014,"JAN","2014-1-1","cali",23.8
"581",1951,"FEB","1951-2-1","cali",22.8
"582",1952,"FEB","1952-2-1","cali",23.3
"583",1953,"FEB","1953-2-1","cali",23.7
"584",1954,"FEB","1954-2-1","cali",23.8
"585",1955,"FEB","1955-2-1","cali",24.5
"586",1956,"FEB","1956-2-1","cali",23.7
"587",1957,"FEB","1957-2-1","cali",25.1
"588",1958,"FEB","1958-2-1","cali",NA
"589",1959,"FEB","1959-2-1","cali",23.6
"590",1960,"FEB","1960-2-1","cali",23.1
"591",1961,"FEB","1961-2-1","cali",23.8
"592",1962,"FEB","1962-2-1","cali",22.8
"593",1963,"FEB","1963-2-1","cali",22.2
"594",1964,"FEB","1964-2-1","cali",24.1
"595",1965,"FEB","1965-2-1","cali",NA
"596",1966,"FEB","1966-2-1","cali",NA
"597",1967,"FEB","1967-2-1","cali",23
"598",1968,"FEB","1968-2-1","cali",22.8
"599",1969,"FEB","1969-2-1","cali",23.4
"600",1970,"FEB","1970-2-1","cali",23
"601",1971,"FEB","1971-2-1","cali",22.9
"602",1972,"FEB","1972-2-1","cali",23.3
"603",1973,"FEB","1973-2-1","cali",NA
"604",1974,"FEB","1974-2-1","cali",22.5
"605",1975,"FEB","1975-2-1","cali",22.7
"606",1976,"FEB","1976-2-1","cali",22.6
"607",1977,"FEB","1977-2-1","cali",24.1
"608",1978,"FEB","1978-2-1","cali",24.4
"609",1979,"FEB","1979-2-1","cali",24
"610",1980,"FEB","1980-2-1","cali",23.9
"611",1981,"FEB","1981-2-1","cali",23.6
"612",1982,"FEB","1982-2-1","cali",23.4
"613",1983,"FEB","1983-2-1","cali",25.5
"614",1984,"FEB","1984-2-1","cali",22.7
"615",1985,"FEB","1985-2-1","cali",23.6
"616",1986,"FEB","1986-2-1","cali",22.8
"617",1987,"FEB","1987-2-1","cali",23.5
"618",1988,"FEB","1988-2-1","cali",24.3
"619",1989,"FEB","1989-2-1","cali",22.9
"620",1990,"FEB","1990-2-1","cali",22.9
"621",1991,"FEB","1991-2-1","cali",24.7
"622",1992,"FEB","1992-2-1","cali",24.9
"623",1993,"FEB","1993-2-1","cali",23.8
"624",1994,"FEB","1994-2-1","cali",24
"625",1995,"FEB","1995-2-1","cali",24.9
"626",1996,"FEB","1996-2-1","cali",22.6
"627",1997,"FEB","1997-2-1","cali",23.9
"628",1998,"FEB","1998-2-1","cali",25.2
"629",1999,"FEB","1999-2-1","cali",23.3
"630",2000,"FEB","2000-2-1","cali",23.3
"631",2001,"FEB","2001-2-1","cali",23.8
"632",2002,"FEB","2002-2-1","cali",24.3
"633",2003,"FEB","2003-2-1","cali",24.2
"634",2004,"FEB","2004-2-1","cali",23.9
"635",2005,"FEB","2005-2-1","cali",24.3
"636",2006,"FEB","2006-2-1","cali",23.9
"637",2007,"FEB","2007-2-1","cali",24.2
"638",2008,"FEB","2008-2-1","cali",NA
"639",2009,"FEB","2009-2-1","cali",23.6
"640",2010,"FEB","2010-2-1","cali",25
"641",2011,"FEB","2011-2-1","cali",23.2
"642",2012,"FEB","2012-2-1","cali",22.9
"643",2013,"FEB","2013-2-1","cali",23.7
"644",2014,"FEB","2014-2-1","cali",23.9
"645",1951,"MAR","1951-3-1","cali",24.4
"646",1952,"MAR","1952-3-1","cali",23.5
"647",1953,"MAR","1953-3-1","cali",23.9
"648",1954,"MAR","1954-3-1","cali",23.3
"649",1955,"MAR","1955-3-1","cali",24.2
"650",1956,"MAR","1956-3-1","cali",24.5
"651",1957,"MAR","1957-3-1","cali",24.1
"652",1958,"MAR","1958-3-1","cali",NA
"653",1959,"MAR","1959-3-1","cali",23.8
"654",1960,"MAR","1960-3-1","cali",23.2
"655",1961,"MAR","1961-3-1","cali",23.5
"656",1962,"MAR","1962-3-1","cali",22.2
"657",1963,"MAR","1963-3-1","cali",23.2
"658",1964,"MAR","1964-3-1","cali",24.2
"659",1965,"MAR","1965-3-1","cali",NA
"660",1966,"MAR","1966-3-1","cali",23.1
"661",1967,"MAR","1967-3-1","cali",23.2
"662",1968,"MAR","1968-3-1","cali",22.8
"663",1969,"MAR","1969-3-1","cali",20.7
"664",1970,"MAR","1970-3-1","cali",23.1
"665",1971,"MAR","1971-3-1","cali",23.1
"666",1972,"MAR","1972-3-1","cali",23.4
"667",1973,"MAR","1973-3-1","cali",NA
"668",1974,"MAR","1974-3-1","cali",22.6
"669",1975,"MAR","1975-3-1","cali",23.1
"670",1976,"MAR","1976-3-1","cali",23.3
"671",1977,"MAR","1977-3-1","cali",24.8
"672",1978,"MAR","1978-3-1","cali",23.6
"673",1979,"MAR","1979-3-1","cali",23.8
"674",1980,"MAR","1980-3-1","cali",24.5
"675",1981,"MAR","1981-3-1","cali",23.9
"676",1982,"MAR","1982-3-1","cali",23.3
"677",1983,"MAR","1983-3-1","cali",24.9
"678",1984,"MAR","1984-3-1","cali",23.5
"679",1985,"MAR","1985-3-1","cali",24.1
"680",1986,"MAR","1986-3-1","cali",22.9
"681",1987,"MAR","1987-3-1","cali",23.9
"682",1988,"MAR","1988-3-1","cali",25
"683",1989,"MAR","1989-3-1","cali",23
"684",1990,"MAR","1990-3-1","cali",24.8
"685",1991,"MAR","1991-3-1","cali",23.8
"686",1992,"MAR","1992-3-1","cali",25
"687",1993,"MAR","1993-3-1","cali",23.3
"688",1994,"MAR","1994-3-1","cali",23.6
"689",1995,"MAR","1995-3-1","cali",24.7
"690",1996,"MAR","1996-3-1","cali",22.5
"691",1997,"MAR","1997-3-1","cali",24
"692",1998,"MAR","1998-3-1","cali",24.9
"693",1999,"MAR","1999-3-1","cali",23.8
"694",2000,"MAR","2000-3-1","cali",23.5
"695",2001,"MAR","2001-3-1","cali",23.3
"696",2002,"MAR","2002-3-1","cali",23.8
"697",2003,"MAR","2003-3-1","cali",23.9
"698",2004,"MAR","2004-3-1","cali",24.6
"699",2005,"MAR","2005-3-1","cali",23.8
"700",2006,"MAR","2006-3-1","cali",23.3
"701",2007,"MAR","2007-3-1","cali",23.7
"702",2008,"MAR","2008-3-1","cali",NA
"703",2009,"MAR","2009-3-1","cali",22.1
"704",2010,"MAR","2010-3-1","cali",25.4
"705",2011,"MAR","2011-3-1","cali",23
"706",2012,"MAR","2012-3-1","cali",23.4
"707",2013,"MAR","2013-3-1","cali",24.2
"708",2014,"MAR","2014-3-1","cali",23.9
"709",1951,"APR","1951-4-1","cali",23.1
"710",1952,"APR","1952-4-1","cali",22.9
"711",1953,"APR","1953-4-1","cali",22.9
"712",1954,"APR","1954-4-1","cali",22.7
"713",1955,"APR","1955-4-1","cali",23.9
"714",1956,"APR","1956-4-1","cali",24
"715",1957,"APR","1957-4-1","cali",23.6
"716",1958,"APR","1958-4-1","cali",24.8
"717",1959,"APR","1959-4-1","cali",23.5
"718",1960,"APR","1960-4-1","cali",23
"719",1961,"APR","1961-4-1","cali",22.9
"720",1962,"APR","1962-4-1","cali",22.2
"721",1963,"APR","1963-4-1","cali",23.2
"722",1964,"APR","1964-4-1","cali",23.4
"723",1965,"APR","1965-4-1","cali",NA
"724",1966,"APR","1966-4-1","cali",23.5
"725",1967,"APR","1967-4-1","cali",23.2
"726",1968,"APR","1968-4-1","cali",23
"727",1969,"APR","1969-4-1","cali",22.6
"728",1970,"APR","1970-4-1","cali",22.7
"729",1971,"APR","1971-4-1","cali",22.7
"730",1972,"APR","1972-4-1","cali",23.7
"731",1973,"APR","1973-4-1","cali",23.5
"732",1974,"APR","1974-4-1","cali",22.5
"733",1975,"APR","1975-4-1","cali",23.4
"734",1976,"APR","1976-4-1","cali",23.1
"735",1977,"APR","1977-4-1","cali",23.5
"736",1978,"APR","1978-4-1","cali",23
"737",1979,"APR","1979-4-1","cali",23.7
"738",1980,"APR","1980-4-1","cali",23.9
"739",1981,"APR","1981-4-1","cali",23.2
"740",1982,"APR","1982-4-1","cali",23
"741",1983,"APR","1983-4-1","cali",23.8
"742",1984,"APR","1984-4-1","cali",22.9
"743",1985,"APR","1985-4-1","cali",23.7
"744",1986,"APR","1986-4-1","cali",23.5
"745",1987,"APR","1987-4-1","cali",23.5
"746",1988,"APR","1988-4-1","cali",23.4
"747",1989,"APR","1989-4-1","cali",24.2
"748",1990,"APR","1990-4-1","cali",24.1
"749",1991,"APR","1991-4-1","cali",23.4
"750",1992,"APR","1992-4-1","cali",24.3
"751",1993,"APR","1993-4-1","cali",23.4
"752",1994,"APR","1994-4-1","cali",23.6
"753",1995,"APR","1995-4-1","cali",23.9
"754",1996,"APR","1996-4-1","cali",23.5
"755",1997,"APR","1997-4-1","cali",23.7
"756",1998,"APR","1998-4-1","cali",24.3
"757",1999,"APR","1999-4-1","cali",23.6
"758",2000,"APR","2000-4-1","cali",23.5
"759",2001,"APR","2001-4-1","cali",24
"760",2002,"APR","2002-4-1","cali",23.2
"761",2003,"APR","2003-4-1","cali",23.6
"762",2004,"APR","2004-4-1","cali",23.6
"763",2005,"APR","2005-4-1","cali",24.2
"764",2006,"APR","2006-4-1","cali",23.4
"765",2007,"APR","2007-4-1","cali",23.2
"766",2008,"APR","2008-4-1","cali",23
"767",2009,"APR","2009-4-1","cali",23.8
"768",2010,"APR","2010-4-1","cali",23.8
"769",2011,"APR","2011-4-1","cali",23
"770",2012,"APR","2012-4-1","cali",22.9
"771",2013,"APR","2013-4-1","cali",24.2
"772",2014,"APR","2014-4-1","cali",24.1
"773",1951,"MAY","1951-5-1","cali",23.3
"774",1952,"MAY","1952-5-1","cali",22.8
"775",1953,"MAY","1953-5-1","cali",22.6
"776",1954,"MAY","1954-5-1","cali",22.9
"777",1955,"MAY","1955-5-1","cali",24.1
"778",1956,"MAY","1956-5-1","cali",23.8
"779",1957,"MAY","1957-5-1","cali",NA
"780",1958,"MAY","1958-5-1","cali",NA
"781",1959,"MAY","1959-5-1","cali",23
"782",1960,"MAY","1960-5-1","cali",23.3
"783",1961,"MAY","1961-5-1","cali",23.8
"784",1962,"MAY","1962-5-1","cali",21.8
"785",1963,"MAY","1963-5-1","cali",23.2
"786",1964,"MAY","1964-5-1","cali",23.4
"787",1965,"MAY","1965-5-1","cali",NA
"788",1966,"MAY","1966-5-1","cali",22.8
"789",1967,"MAY","1967-5-1","cali",22.9
"790",1968,"MAY","1968-5-1","cali",23
"791",1969,"MAY","1969-5-1","cali",23.2
"792",1970,"MAY","1970-5-1","cali",22.5
"793",1971,"MAY","1971-5-1","cali",22.6
"794",1972,"MAY","1972-5-1","cali",23.4
"795",1973,"MAY","1973-5-1","cali",23.2
"796",1974,"MAY","1974-5-1","cali",22.8
"797",1975,"MAY","1975-5-1","cali",22.8
"798",1976,"MAY","1976-5-1","cali",22.8
"799",1977,"MAY","1977-5-1","cali",23.4
"800",1978,"MAY","1978-5-1","cali",23.1
"801",1979,"MAY","1979-5-1","cali",23.2
"802",1980,"MAY","1980-5-1","cali",23.9
"803",1981,"MAY","1981-5-1","cali",22.9
"804",1982,"MAY","1982-5-1","cali",23.2
"805",1983,"MAY","1983-5-1","cali",24.2
"806",1984,"MAY","1984-5-1","cali",22.9
"807",1985,"MAY","1985-5-1","cali",23.5
"808",1986,"MAY","1986-5-1","cali",23.1
"809",1987,"MAY","1987-5-1","cali",23.2
"810",1988,"MAY","1988-5-1","cali",23.9
"811",1989,"MAY","1989-5-1","cali",23.1
"812",1990,"MAY","1990-5-1","cali",23.7
"813",1991,"MAY","1991-5-1","cali",23.5
"814",1992,"MAY","1992-5-1","cali",24
"815",1993,"MAY","1993-5-1","cali",23.2
"816",1994,"MAY","1994-5-1","cali",23.8
"817",1995,"MAY","1995-5-1","cali",24.1
"818",1996,"MAY","1996-5-1","cali",23.7
"819",1997,"MAY","1997-5-1","cali",24
"820",1998,"MAY","1998-5-1","cali",24.8
"821",1999,"MAY","1999-5-1","cali",23.3
"822",2000,"MAY","2000-5-1","cali",23.4
"823",2001,"MAY","2001-5-1","cali",23.4
"824",2002,"MAY","2002-5-1","cali",23.8
"825",2003,"MAY","2003-5-1","cali",24.1
"826",2004,"MAY","2004-5-1","cali",23.5
"827",2005,"MAY","2005-5-1","cali",23.6
"828",2006,"MAY","2006-5-1","cali",23.6
"829",2007,"MAY","2007-5-1","cali",23.4
"830",2008,"MAY","2008-5-1","cali",22.8
"831",2009,"MAY","2009-5-1","cali",NA
"832",2010,"MAY","2010-5-1","cali",24.1
"833",2011,"MAY","2011-5-1","cali",23.7
"834",2012,"MAY","2012-5-1","cali",23.4
"835",2013,"MAY","2013-5-1","cali",23
"836",2014,"MAY","2014-5-1","cali",NA
"837",1951,"JUN","1951-6-1","cali",23.2
"838",1952,"JUN","1952-6-1","cali",23
"839",1953,"JUN","1953-6-1","cali",23.2
"840",1954,"JUN","1954-6-1","cali",22.3
"841",1955,"JUN","1955-6-1","cali",23.2
"842",1956,"JUN","1956-6-1","cali",23.3
"843",1957,"JUN","1957-6-1","cali",NA
"844",1958,"JUN","1958-6-1","cali",25
"845",1959,"JUN","1959-6-1","cali",22.7
"846",1960,"JUN","1960-6-1","cali",23.4
"847",1961,"JUN","1961-6-1","cali",23
"848",1962,"JUN","1962-6-1","cali",21.9
"849",1963,"JUN","1963-6-1","cali",23.7
"850",1964,"JUN","1964-6-1","cali",NA
"851",1965,"JUN","1965-6-1","cali",NA
"852",1966,"JUN","1966-6-1","cali",23.1
"853",1967,"JUN","1967-6-1","cali",22.5
"854",1968,"JUN","1968-6-1","cali",22.3
"855",1969,"JUN","1969-6-1","cali",23
"856",1970,"JUN","1970-6-1","cali",23.1
"857",1971,"JUN","1971-6-1","cali",22.6
"858",1972,"JUN","1972-6-1","cali",24
"859",1973,"JUN","1973-6-1","cali",23
"860",1974,"JUN","1974-6-1","cali",22.9
"861",1975,"JUN","1975-6-1","cali",23.1
"862",1976,"JUN","1976-6-1","cali",23.1
"863",1977,"JUN","1977-6-1","cali",23.4
"864",1978,"JUN","1978-6-1","cali",23.1
"865",1979,"JUN","1979-6-1","cali",23.4
"866",1980,"JUN","1980-6-1","cali",23.5
"867",1981,"JUN","1981-6-1","cali",23
"868",1982,"JUN","1982-6-1","cali",23.9
"869",1983,"JUN","1983-6-1","cali",24.2
"870",1984,"JUN","1984-6-1","cali",23.3
"871",1985,"JUN","1985-6-1","cali",23.4
"872",1986,"JUN","1986-6-1","cali",23.3
"873",1987,"JUN","1987-6-1","cali",24.5
"874",1988,"JUN","1988-6-1","cali",23.5
"875",1989,"JUN","1989-6-1","cali",23.1
"876",1990,"JUN","1990-6-1","cali",23.7
"877",1991,"JUN","1991-6-1","cali",24.1
"878",1992,"JUN","1992-6-1","cali",24.4
"879",1993,"JUN","1993-6-1","cali",23.7
"880",1994,"JUN","1994-6-1","cali",24.2
"881",1995,"JUN","1995-6-1","cali",24.4
"882",1996,"JUN","1996-6-1","cali",23.9
"883",1997,"JUN","1997-6-1","cali",23.2
"884",1998,"JUN","1998-6-1","cali",24.5
"885",1999,"JUN","1999-6-1","cali",23.3
"886",2000,"JUN","2000-6-1","cali",23.5
"887",2001,"JUN","2001-6-1","cali",23.5
"888",2002,"JUN","2002-6-1","cali",23
"889",2003,"JUN","2003-6-1","cali",23
"890",2004,"JUN","2004-6-1","cali",23.8
"891",2005,"JUN","2005-6-1","cali",23.7
"892",2006,"JUN","2006-6-1","cali",23.3
"893",2007,"JUN","2007-6-1","cali",23.4
"894",2008,"JUN","2008-6-1","cali",23.1
"895",2009,"JUN","2009-6-1","cali",23.6
"896",2010,"JUN","2010-6-1","cali",23.4
"897",2011,"JUN","2011-6-1","cali",23.9
"898",2012,"JUN","2012-6-1","cali",24
"899",2013,"JUN","2013-6-1","cali",24.1
"900",2014,"JUN","2014-6-1","cali",NA
"901",1951,"JUL","1951-7-1","cali",23.2
"902",1952,"JUL","1952-7-1","cali",23.2
"903",1953,"JUL","1953-7-1","cali",23.2
"904",1954,"JUL","1954-7-1","cali",22.4
"905",1955,"JUL","1955-7-1","cali",23.2
"906",1956,"JUL","1956-7-1","cali",23.9
"907",1957,"JUL","1957-7-1","cali",24.9
"908",1958,"JUL","1958-7-1","cali",NA
"909",1959,"JUL","1959-7-1","cali",23
"910",1960,"JUL","1960-7-1","cali",23.2
"911",1961,"JUL","1961-7-1","cali",22.8
"912",1962,"JUL","1962-7-1","cali",23.5
"913",1963,"JUL","1963-7-1","cali",23.3
"914",1964,"JUL","1964-7-1","cali",NA
"915",1965,"JUL","1965-7-1","cali",NA
"916",1966,"JUL","1966-7-1","cali",23.6
"917",1967,"JUL","1967-7-1","cali",22.9
"918",1968,"JUL","1968-7-1","cali",23.2
"919",1969,"JUL","1969-7-1","cali",23
"920",1970,"JUL","1970-7-1","cali",23.2
"921",1971,"JUL","1971-7-1","cali",22.9
"922",1972,"JUL","1972-7-1","cali",24.4
"923",1973,"JUL","1973-7-1","cali",23.5
"924",1974,"JUL","1974-7-1","cali",23
"925",1975,"JUL","1975-7-1","cali",22.1
"926",1976,"JUL","1976-7-1","cali",23.7
"927",1977,"JUL","1977-7-1","cali",23.9
"928",1978,"JUL","1978-7-1","cali",23.3
"929",1979,"JUL","1979-7-1","cali",23.8
"930",1980,"JUL","1980-7-1","cali",23.9
"931",1981,"JUL","1981-7-1","cali",23.4
"932",1982,"JUL","1982-7-1","cali",23.7
"933",1983,"JUL","1983-7-1","cali",24.4
"934",1984,"JUL","1984-7-1","cali",23.4
"935",1985,"JUL","1985-7-1","cali",23.4
"936",1986,"JUL","1986-7-1","cali",23.9
"937",1987,"JUL","1987-7-1","cali",23.9
"938",1988,"JUL","1988-7-1","cali",23.6
"939",1989,"JUL","1989-7-1","cali",24.2
"940",1990,"JUL","1990-7-1","cali",23.8
"941",1991,"JUL","1991-7-1","cali",23.6
"942",1992,"JUL","1992-7-1","cali",23.7
"943",1993,"JUL","1993-7-1","cali",24
"944",1994,"JUL","1994-7-1","cali",23.8
"945",1995,"JUL","1995-7-1","cali",24
"946",1996,"JUL","1996-7-1","cali",24.1
"947",1997,"JUL","1997-7-1","cali",24.3
"948",1998,"JUL","1998-7-1","cali",24.2
"949",1999,"JUL","1999-7-1","cali",24.1
"950",2000,"JUL","2000-7-1","cali",23.9
"951",2001,"JUL","2001-7-1","cali",23.6
"952",2002,"JUL","2002-7-1","cali",24.1
"953",2003,"JUL","2003-7-1","cali",23.7
"954",2004,"JUL","2004-7-1","cali",23.2
"955",2005,"JUL","2005-7-1","cali",24.1
"956",2006,"JUL","2006-7-1","cali",24.3
"957",2007,"JUL","2007-7-1","cali",23.8
"958",2008,"JUL","2008-7-1","cali",23.1
"959",2009,"JUL","2009-7-1","cali",24.6
"960",2010,"JUL","2010-7-1","cali",23
"961",2011,"JUL","2011-7-1","cali",23.6
"962",2012,"JUL","2012-7-1","cali",NA
"963",2013,"JUL","2013-7-1","cali",24.1
"964",2014,"JUL","2014-7-1","cali",NA
"965",1951,"AUG","1951-8-1","cali",23.8
"966",1952,"AUG","1952-8-1","cali",23.3
"967",1953,"AUG","1953-8-1","cali",24.2
"968",1954,"AUG","1954-8-1","cali",22.8
"969",1955,"AUG","1955-8-1","cali",24
"970",1956,"AUG","1956-8-1","cali",24.1
"971",1957,"AUG","1957-8-1","cali",NA
"972",1958,"AUG","1958-8-1","cali",NA
"973",1959,"AUG","1959-8-1","cali",23.1
"974",1960,"AUG","1960-8-1","cali",23.7
"975",1961,"AUG","1961-8-1","cali",23.7
"976",1962,"AUG","1962-8-1","cali",23.4
"977",1963,"AUG","1963-8-1","cali",24.2
"978",1964,"AUG","1964-8-1","cali",NA
"979",1965,"AUG","1965-8-1","cali",NA
"980",1966,"AUG","1966-8-1","cali",23.1
"981",1967,"AUG","1967-8-1","cali",23.5
"982",1968,"AUG","1968-8-1","cali",23.8
"983",1969,"AUG","1969-8-1","cali",23.8
"984",1970,"AUG","1970-8-1","cali",23.4
"985",1971,"AUG","1971-8-1","cali",22.3
"986",1972,"AUG","1972-8-1","cali",NA
"987",1973,"AUG","1973-8-1","cali",22.9
"988",1974,"AUG","1974-8-1","cali",23.7
"989",1975,"AUG","1975-8-1","cali",22.6
"990",1976,"AUG","1976-8-1","cali",23.8
"991",1977,"AUG","1977-8-1","cali",23.9
"992",1978,"AUG","1978-8-1","cali",23.8
"993",1979,"AUG","1979-8-1","cali",23.4
"994",1980,"AUG","1980-8-1","cali",23.5
"995",1981,"AUG","1981-8-1","cali",23.5
"996",1982,"AUG","1982-8-1","cali",24.5
"997",1983,"AUG","1983-8-1","cali",24.6
"998",1984,"AUG","1984-8-1","cali",23.1
"999",1985,"AUG","1985-8-1","cali",23.1
"1000",1986,"AUG","1986-8-1","cali",24.1
"1001",1987,"AUG","1987-8-1","cali",24.5
"1002",1988,"AUG","1988-8-1","cali",23.8
"1003",1989,"AUG","1989-8-1","cali",23.6
"1004",1990,"AUG","1990-8-1","cali",24.2
"1005",1991,"AUG","1991-8-1","cali",23.7
"1006",1992,"AUG","1992-8-1","cali",24.2
"1007",1993,"AUG","1993-8-1","cali",24.3
"1008",1994,"AUG","1994-8-1","cali",23.9
"1009",1995,"AUG","1995-8-1","cali",24.1
"1010",1996,"AUG","1996-8-1","cali",23.7
"1011",1997,"AUG","1997-8-1","cali",24.8
"1012",1998,"AUG","1998-8-1","cali",24.3
"1013",1999,"AUG","1999-8-1","cali",24.2
"1014",2000,"AUG","2000-8-1","cali",24.2
"1015",2001,"AUG","2001-8-1","cali",24.9
"1016",2002,"AUG","2002-8-1","cali",24.4
"1017",2003,"AUG","2003-8-1","cali",23.8
"1018",2004,"AUG","2004-8-1","cali",24.3
"1019",2005,"AUG","2005-8-1","cali",24.2
"1020",2006,"AUG","2006-8-1","cali",24.2
"1021",2007,"AUG","2007-8-1","cali",23.3
"1022",2008,"AUG","2008-8-1","cali",23.1
"1023",2009,"AUG","2009-8-1","cali",24.8
"1024",2010,"AUG","2010-8-1","cali",23.6
"1025",2011,"AUG","2011-8-1","cali",24.3
"1026",2012,"AUG","2012-8-1","cali",24.4
"1027",2013,"AUG","2013-8-1","cali",23.7
"1028",2014,"AUG","2014-8-1","cali",NA
"1029",1951,"SEP","1951-9-1","cali",23.4
"1030",1952,"SEP","1952-9-1","cali",23.2
"1031",1953,"SEP","1953-9-1","cali",23.2
"1032",1954,"SEP","1954-9-1","cali",24.4
"1033",1955,"SEP","1955-9-1","cali",23.9
"1034",1956,"SEP","1956-9-1","cali",23.9
"1035",1957,"SEP","1957-9-1","cali",NA
"1036",1958,"SEP","1958-9-1","cali",NA
"1037",1959,"SEP","1959-9-1","cali",23.7
"1038",1960,"SEP","1960-9-1","cali",23.6
"1039",1961,"SEP","1961-9-1","cali",23.4
"1040",1962,"SEP","1962-9-1","cali",23.6
"1041",1963,"SEP","1963-9-1","cali",24
"1042",1964,"SEP","1964-9-1","cali",NA
"1043",1965,"SEP","1965-9-1","cali",NA
"1044",1966,"SEP","1966-9-1","cali",23.5
"1045",1967,"SEP","1967-9-1","cali",22.9
"1046",1968,"SEP","1968-9-1","cali",23
"1047",1969,"SEP","1969-9-1","cali",23.4
"1048",1970,"SEP","1970-9-1","cali",23
"1049",1971,"SEP","1971-9-1","cali",22.2
"1050",1972,"SEP","1972-9-1","cali",NA
"1051",1973,"SEP","1973-9-1","cali",22.4
"1052",1974,"SEP","1974-9-1","cali",22.5
"1053",1975,"SEP","1975-9-1","cali",22.9
"1054",1976,"SEP","1976-9-1","cali",24.5
"1055",1977,"SEP","1977-9-1","cali",23.4
"1056",1978,"SEP","1978-9-1","cali",23.5
"1057",1979,"SEP","1979-9-1","cali",23.2
"1058",1980,"SEP","1980-9-1","cali",24.1
"1059",1981,"SEP","1981-9-1","cali",23.7
"1060",1982,"SEP","1982-9-1","cali",23.8
"1061",1983,"SEP","1983-9-1","cali",24.2
"1062",1984,"SEP","1984-9-1","cali",23
"1063",1985,"SEP","1985-9-1","cali",23
"1064",1986,"SEP","1986-9-1","cali",24.3
"1065",1987,"SEP","1987-9-1","cali",24.3
"1066",1988,"SEP","1988-9-1","cali",23.7
"1067",1989,"SEP","1989-9-1","cali",23.4
"1068",1990,"SEP","1990-9-1","cali",24.2
"1069",1991,"SEP","1991-9-1","cali",24.2
"1070",1992,"SEP","1992-9-1","cali",23.9
"1071",1993,"SEP","1993-9-1","cali",23.3
"1072",1994,"SEP","1994-9-1","cali",24.1
"1073",1995,"SEP","1995-9-1","cali",24.8
"1074",1996,"SEP","1996-9-1","cali",24
"1075",1997,"SEP","1997-9-1","cali",24.2
"1076",1998,"SEP","1998-9-1","cali",24.2
"1077",1999,"SEP","1999-9-1","cali",23
"1078",2000,"SEP","2000-9-1","cali",23
"1079",2001,"SEP","2001-9-1","cali",23.5
"1080",2002,"SEP","2002-9-1","cali",24
"1081",2003,"SEP","2003-9-1","cali",23.7
"1082",2004,"SEP","2004-9-1","cali",23.2
"1083",2005,"SEP","2005-9-1","cali",24
"1084",2006,"SEP","2006-9-1","cali",24
"1085",2007,"SEP","2007-9-1","cali",24
"1086",2008,"SEP","2008-9-1","cali",23.3
