No,m2s_ratio,lonm,latm,area(km2),Vol(km3/yr)
659,10000,145.62,-16.8,1940.0,790
638,10000,-4.56,52.04,894.0,895
636,10000,-35.31,-8.64,1360.0,901
639,10000,-8.3,40.75,928.0,903
635,10000,-77.2,-11.13,5000.0,866
640,10000,-2.95,51.75,912.0,885
634,10000,147.38,-37.77,3903.0,892
641,10000,77.8,10.1,2253.0,885
633,10000,-80.53,7.87,1000.0,911
671,10000,117.4,39.77,5120.0,725
642,10000,116.08,5.78,1000.0,870
643,10000,-38.87,-6.41,12000.0,875
644,10000,-35.05,-7.13,19244.0,859
645,10000,-90.09,13.84,1991.0,847
646,10000,-40.82,-3.12,3720.0,1214
647,10000,136.87,35.2,705.0,843
648,10000,172.59,-41.79,368.0,840
649,10000,127.42,36.38,612.0,839
632,10000,100.45,6.22,1274.0,918
650,10000,-79.28,-7.28,2500.0,841
652,10000,-71.08,43.98,997.1,832
631,10000,20.28,40.78,1880.0,934
653,10000,-40.49,-20.42,1690.0,827
654,10000,-39.27,-14.8,3964.0,823
655,10000,-48.92,-27.1,1240.0,809
656,10000,147.6,-20.58,7200.0,816
657,10000,145.98,-17.62,390.0,807
658,10000,0.27,36.03,43750.0,808
651,10000,-103.95,18.95,9744.0,831
706,10000,-48.71,-27.69,522.0,616
672,10000,-51.46,3.04,900.0,730
713,10000,150.0,-35.17,2770.0,592
702,10000,115.62,-34.07,20400.0,650
703,10000,-3.98,51.0,826.0,627
704,10000,121.3,23.42,249.0,626
705,10000,-3.33,51.6,455.0,616
629,10000,24.48,57.85,3265.0,943
707,10000,132.42,44.27,4030.0,608
708,10000,173.69,-41.62,764.0,605
709,10000,-39.08,-13.37,1280.0,604
710,10000,-72.9,-38.15,1054.0,601
711,10000,-68.97,9.68,4325.0,596
712,10000,141.28,-37.93,11914.0,581
714,10000,-80.48,8.42,471.0,590
700,10000,-70.32,-32.92,875.0,635
715,10000,9.52,36.58,20895.0,588
716,10000,-3.79,53.11,344.0,583
717,10000,1.95,41.47,4561.0,493
718,10000,-35.55,-9.13,674.0,573
719,10000,-41.51,-20.53,1045.0,573
720,10000,3.87,36.8,2501.0,573
721,10000,14.22,65.5,756.0,565
722,10000,-45.79,-2.5,839.0,562
723,10000,121.28,24.65,335.0,554
724,10000,103.17,1.93,186.0,553
725,10000,-1.36,53.92,759.0,550
701,10000,35.43,64.25,1990.0,631
699,10000,148.13,-20.83,2280.0,642
673,10000,-68.12,9.5,2730.0,719
685,10000,-41.01,-19.52,2135.0,673
674,10000,135.08,-16.45,10400.0,716
675,10000,-4.22,50.53,917.0,712
676,10000,175.09,-41.1,427.0,707
677,10000,3.37,50.62,5091.0,703
678,10000,40.42,65.67,1840.0,696
679,10000,36.75,68.9,980.0,695
680,10000,-80.87,33.48,1769.0,694
681,10000,176.34,-38.03,632.0,687
682,10000,27.83,43.03,4857.0,687
683,10000,-77.58,35.42,1888.1,682
